"sigungu","bungi","bonbun","bubun","buildingName","area","daejiarea","dealyearmonth","dealDay","dealAmount","floor","buildYear","roadname"
"강원도 강릉시 교동","302","0302","0000","까르빌","65.1875","48.84","202009","23","18,500","5","2018","화부산로141번안길 3"
"강원도 강릉시 교동","972-3","0972","0003","아펠리아","38.16","64.19","202009","13","13,400","2","2018","원대로30번길 11"
"강원도 강릉시 교동","303-1","0303","0001","이화","56.79","79.16","202009","12","8,700","1","1984","율곡로2968번안길 2"
"강원도 강릉시 내곡동","267","0267","0000","기산그린타운","49.57","93.19","202009","8","7,800","2","1997","범일로 528"
"강원도 강릉시 노암동","245-24","0245","0024","더힐","45.75","39.12","202009","14","13,800","4","2018","율곡로2747번길 5"
"강원도 강릉시 노암동","245-24","0245","0024","더힐","50","42.75","202009","14","15,000","3","2018","율곡로2747번길 5"
"강원도 강릉시 노암동","245-24","0245","0024","더힐","45.75","39.12","202009","14","13,500","4","2018","율곡로2747번길 5"
"강원도 강릉시 노암동","245-24","0245","0024","더힐","45.75","39.12","202009","14","14,500","5","2018","율곡로2747번길 5"
"강원도 강릉시 노암동","245-24","0245","0024","더힐","45.75","39.12","202009","14","14,500","5","2018","율곡로2747번길 5"
"강원도 강릉시 노암동","245-24","0245","0024","더힐","45.75","39.12","202009","14","14,300","4","2018","율곡로2747번길 5"
"강원도 강릉시 송정동","216-1","0216","0001","소라A단지","56.34","111.69","202009","6","7,000","1","1986","송정길 15"
"강원도 강릉시 송정동","216-1","0216","0001","소라A단지","56.34","111.69","202009","17","6,000","3","1986","송정길 15"
"강원도 강릉시 송정동","110-81","0110","0081","화이트캐슬","43.2","37.29","202009","1","15,000","1","2017","경강로 2531"
"강원도 강릉시 연곡면 영진리","353-29","0353","0029","동방이스트빌(101~103동)","71.12","50.82","202009","17","12,000","5","2016","연주로 162"
"강원도 강릉시 입암동","498-6","0498","0006","대목임대","31.15","44.3","202009","25","3,500","1","1987","용지로 43"
"강원도 강릉시 포남동","1221-7","1221","0007","(1221-7)","109.14","66.4","202009","17","20,802","1","1991","산양큰길22번길 21"
"강원도 강릉시 포남동","1005-20","1005","0020","개미주택","56.76","53.85","202009","28","6,000","3","1984","경강로2234번길 18"
"강원도 강릉시 포남동","438-1","0438","0001","동산","70.74","67.75","202009","5","9,000","3","1986","보래미상길 100"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","48.6","97.95","202009","17","6,100","3","1988","강릉대로419번길 54"
"강원도 강릉시 포남동","1005-134","1005","0134","옥포","52.74","53.75","202009","1","4,500","3","1983","용지각길8번길 29"
"강원도 강릉시 포남동","1005-134","1005","0134","옥포","52.74","53.75","202009","3","6,000","1","1983","용지각길8번길 29"
"강원도 강릉시 포남동","1005-134","1005","0134","옥포","52.74","53.75","202009","10","6,500","2","1983","용지각길8번길 29"
"강원도 강릉시 포남동","314-1","0314","0001","파인빌리지","22.52","48.93","202009","3","8,100","2","2018","난설헌로78번길 29-9"
"강원도 강릉시 포남동","314-1","0314","0001","파인빌리지","22.52","48.93","202009","24","8,000","1","2018","난설헌로78번길 29-9"
"강원도 강릉시 포남동","314-1","0314","0001","파인빌리지","22.52","48.93","202009","24","8,000","1","2018","난설헌로78번길 29-9"
"강원도 강릉시 포남동","314-1","0314","0001","파인빌리지","22.52","48.93","202009","24","8,000","1","2018","난설헌로78번길 29-9"
