sigungu,bunji,bonbun,bubun,buildingname,type,area,contract_year_month,contract_day,bondfee,rentmoney,floor,buildyear,address
강원도 강릉시 교동,303-1,0303,0001,이화,월세,56.79,202009,14,500,40,3,1984,율곡로2968번안길 2
강원도 강릉시 교동,972-2,0972,0002,한일,전세,52.2,202009,12,3000,0,2,1981,원대로30번길 15-6
강원도 강릉시 노암동,593-11,0593,0011,(593-11),전세,72.21,202009,8,16000,0,2,2018,남부로136번길 7
강원도 강릉시 송정동,216-1,0216,0001,소라A단지,월세,56.34,202009,29,3000,30,1,1986,송정길 15
강원도 강릉시 연곡면 영진리,353-71,0353,0071,동방 이스트빌(109~111동),월세,71.12,202009,8,4000,25,4,2015,연주로 162
강원도 강릉시 연곡면 영진리,353-71,0353,0071,동방 이스트빌(109~111동),전세,71.12,202009,28,10000,0,3,2015,연주로 162
강원도 강릉시 주문진읍 교항리,67-7,0067,0007,신영,월세,57.69,202009,10,1000,25,2,1984,신리4길 2
강원도 강릉시 포남동,1177-1,1177,0001,신일,전세,57.77,202009,3,4000,0,1,1985,성덕포남로182번길 26
강원도 강릉시 포남동,1324,1324,0000,썬라이즈빌,전세,22.04,202009,8,7500,0,2,2019,난설헌로78번길 29-17
강원도 강릉시 포남동,1324,1324,0000,썬라이즈빌,전세,22.04,202009,10,7500,0,2,2019,난설헌로78번길 29-17
강원도 강릉시 포남동,1324,1324,0000,썬라이즈빌,전세,22.04,202009,11,7500,0,4,2019,난설헌로78번길 29-17
강원도 강릉시 포남동,1324,1324,0000,썬라이즈빌,전세,22.04,202009,15,7200,0,1,2019,난설헌로78번길 29-17
강원도 강릉시 포남동,314-1,0314,0001,파인빌리지,월세,22.52,202009,5,300,40,1,2018,난설헌로78번길 29-9
강원도 강릉시 포남동,314-1,0314,0001,파인빌리지,전세,22.52,202009,7,5000,0,1,2018,난설헌로78번길 29-9
강원도 강릉시 포남동,1191-1,1191,0001,혜성국민주택,월세,55.56,202009,22,1500,35,1,1984,경강로2323번길 4
강원도 동해시 묵호진동,85-304,0085,0304,유화맨션,전세,70.41,202009,15,7000,0,4,2018,해맞이길 160
강원도 동해시 용정동,521-23,0521,0023,초원파크빌B동,전세,67.06,202009,3,10000,0,2,2017,봉오동길 32-8
강원도 동해시 용정동,521-23,0521,0023,초원파크빌B동,전세,67.31,202009,16,10000,0,3,2017,봉오동길 32-8
강원도 동해시 천곡동,973-2,0973,0002,범진빌라2차(B),전세,40.68,202009,22,3000,0,4,1993,감추2길 28
강원도 삼척시 근덕면 교가리,389,0389,0000,삼척근덕더스테이,전세,84.9387,202009,4,18700,0,4,2020,맹방해변로 39
강원도 삼척시 근덕면 교가리,389,0389,0000,삼척근덕더스테이,전세,84.9387,202009,5,18700,0,3,2020,맹방해변로 39
강원도 삼척시 근덕면 교가리,389,0389,0000,삼척근덕더스테이,전세,84.9387,202009,13,18700,0,4,2020,맹방해변로 39
강원도 삼척시 당저동,10-1,0010,0001,두원밸리,월세,47,202009,3,3000,30,3,2013,사대1길 35-30
강원도 속초시 교동,773-1,0773,0001,코스모스(대양),월세,69.66,202009,7,1000,40,3,1985,만천7길 47
강원도 속초시 금호동,625-88,0625,0088,성진주택,전세,53.98,202009,22,5000,0,3,1983,번영로67번길 17
강원도 속초시 노학동,1326,1326,0000,속초 테르바움,전세,74.9363,202009,27,35000,0,4,2020,관광로 344
강원도 속초시 노학동,1073-126,1073,0126,하이디 울산바위(별동),전세,38.893,202009,2,8000,0,1,2017,울산바위길 9-17
강원도 속초시 조양동,590-1,0590,0001,설악빌리지,전세,72.78,202009,16,8000,0,3,1990,청대마을길 5
강원도 원주시 단계동,777-4,0777,0004,단계하나VIVACHE,전세,49.99,202009,23,13000,0,8,2017,천사로 106
강원도 원주시 단계동,777-4,0777,0004,단계하나VIVACHE,전세,49.99,202009,23,13000,0,8,2017,천사로 106
