no,city,gugun,dong,bungi,bonbun,bubun,buildingName,area,daejiarea,dealyearmonth,dealDay,dealAmount,floor,buildYear,roadname
1,서울특별시,강남구,개포동,1186,1186,0,1186 HOUSE,60,39.53,202009,29,"70,000",4,2020,논현로8길 24
2,서울특별시,강남구,개포동,1206,1206,0,개포동삼성베스트빌,26.93,17.2,202009,16,"35,500",6,2017,개포로28길 14
3,서울특별시,강남구,개포동,1205-4,1205,4,골든빌,32.22,20.29,202009,19,"32,000",2,2015,개포로26길 28
4,서울특별시,강남구,개포동,1200-6,1200,6,대림빌리지,51.54,27.1,202009,14,"36,500",2,1997,개포로20길 57
5,서울특별시,강남구,개포동,1233-8,1233,8,리아체,48.35,29.92,202009,18,"40,000",3,2017,논현로18길 22-20
6,서울특별시,강남구,개포동,1180-7,1180,7,미농빌라,37.44,23.62,202009,23,"27,500",2,1990,논현로8길 58-5
7,서울특별시,강남구,개포동,1256-1,1256,1,베네세하우스,53.17,31.44,202009,1,"55,500",3,2013,개포로25길 13-9
8,서울특별시,강남구,개포동,1219-10,1219,10,새롬그린빌,31.69,15.9,202009,14,"21,000",4,1995,개포로20길 37
9,서울특별시,강남구,개포동,1218-9,1218,9,성보하이츠,58.32,35.5,202009,9,"44,100",2,1995,개포로24길 26
10,서울특별시,강남구,개포동,1201-2,1201,2,원아트 빌라,38.9,16.71,202009,23,"13,800",-1,1995,개포로22길 45-8
11,서울특별시,강남구,개포동,160-4,160,4,파크힐빌리지(160-4),25.65,11.61,202009,11,"24,000",4,1995,선릉로8길 28
12,서울특별시,강남구,개포동,1185,1185,0,현대빌라,84.8,81.33,202009,16,"82,000",2,1990,논현로6길 23
13,서울특별시,강남구,논현동,72,72,0,SUN빌리지,84.84,51.6,202009,8,"105,375",-1,2003,도산대로34길 27
14,서울특별시,강남구,논현동,72,72,0,SUN빌리지,69.09,42,202009,8,"85,771",3,2003,도산대로34길 27
15,서울특별시,강남구,논현동,72,72,0,SUN빌리지,69.09,42,202009,8,"85,771",3,2003,도산대로34길 27
16,서울특별시,강남구,논현동,72,72,0,SUN빌리지,69.09,42,202009,8,"85,771",1,2003,도산대로34길 27
17,서울특별시,강남구,논현동,72,72,0,SUN빌리지,69.09,42,202009,8,"85,771",2,2003,도산대로34길 27
18,서울특별시,강남구,논현동,72,72,0,SUN빌리지,69.09,42,202009,8,"85,771",2,2003,도산대로34길 27
19,서울특별시,강남구,논현동,72,72,0,SUN빌리지,69.09,42,202009,8,"85,771",1,2003,도산대로34길 27
20,서울특별시,강남구,논현동,270-2,270,2,공간3차,22.61,15.24,202009,5,"33,000",5,2016,선릉로115길 23
21,서울특별시,강남구,논현동,104-5,104,5,동광팰리스,23.59,17.45,202009,2,"38,500",4,2016,도산대로54길 48-11
