no,city,gugun,dong,bunji,bonbun,bubun,buildingname,type,area,contract_year_month,contract_day,bondfee,rentmoney,floor,buildyear,address
1,서울특별시,강남구,개포동,1208-9,1208,9,(1208-9),월세,45.93,202009,7,2000,100,2,2016,개포로30길 21
2,서울특별시,강남구,개포동,1265-10,1265,10,(1265-10),전세,19.53,202009,28,12000,0,2,2006,개포로31길 23-10
3,서울특별시,강남구,개포동,1213,1213,0,1213,전세,45.52,202009,29,42000,0,4,2016,개포로32길 6
4,서울특별시,강남구,개포동,1245-5,1245,5,G-heim,전세,12.91,202009,23,16800,0,6,2017,개포로17길 9-3
5,서울특별시,강남구,개포동,1193-5,1193,5,개포 비버리하임,전세,29.24,202009,15,30450,0,2,2018,논현로12길 14
6,서울특별시,강남구,개포동,157-9,157,9,개포렉스힐(157-9),전세,55.19,202009,19,42000,0,7,2011,선릉로4길 19
7,서울특별시,강남구,개포동,1262-5,1262,5,그린파크빌,전세,37.86,202009,26,37500,0,4,2017,개포로35길 11
8,서울특별시,강남구,개포동,1165-9,1165,9,금성 하이츠 빌라,전세,61.02,202009,5,33500,0,2,1994,논현로2길 59
9,서울특별시,강남구,개포동,1207-3,1207,3,금성아트,월세,43.11,202009,28,14000,50,3,1991,개포로30길 22
10,서울특별시,강남구,개포동,1195-3,1195,3,노블레스빌,전세,28.8,202009,8,28000,0,3,2018,논현로12길 9-7
11,서울특별시,강남구,개포동,1195-3,1195,3,노블레스빌,전세,27.51,202009,12,28000,0,3,2018,논현로12길 9-7
12,서울특별시,강남구,개포동,1200-6,1200,6,대림빌리지,전세,51.54,202009,22,26000,0,1,1997,개포로20길 57
13,서울특별시,강남구,개포동,1206-2,1206,2,더라움,전세,27.08,202009,27,23000,0,5,2016,개포로28길 18
14,서울특별시,강남구,개포동,1172-3,1172,3,더파인하우스,전세,28.56,202009,4,30000,0,5,2017,논현로6길 22-8
15,서울특별시,강남구,개포동,1172-3,1172,3,더파인하우스,전세,28.56,202009,24,30450,0,5,2017,논현로6길 22-8
16,서울특별시,강남구,개포동,1213-2,1213,2,동산,전세,37.35,202009,4,19000,0,-1,1993,개포로32길 10
17,서울특별시,강남구,개포동,1213-2,1213,2,동산,월세,58.22,202009,7,9000,30,-1,1993,개포로32길 10
18,서울특별시,강남구,개포동,1265-6,1265,6,동산빌,월세,48.32,202009,3,14000,40,2,2004,개포로31길 29-3
19,서울특별시,강남구,개포동,1231-21,1231,21,드림하우스,월세,22.225,202009,25,2000,50,2,2014,개포로20길 9
20,서울특별시,강남구,개포동,1255-10,1255,10,베네스트,월세,48.25,202009,9,3000,120,3,2003,개포로25길 13-10
21,서울특별시,강남구,개포동,1265-5,1265,5,삼보빌라,전세,51.35,202009,30,21000,0,3,1994,개포로31길 29
22,서울특별시,강남구,개포동,1235-8,1235,8,삼성베스트빌2차,전세,40.02,202009,16,46000,0,5,2018,논현로18길 14-18
23,서울특별시,강남구,개포동,1209-19,1209,19,삼성파크빌에이동,월세,72.51,202009,22,10000,110,4,2003,개포로34길 14
24,서울특별시,강남구,개포동,1176-1,1176,1,삼우파크,전세,35.59,202009,15,21000,0,4,1993,논현로8길 46-8
25,서울특별시,강남구,개포동,1231-8,1231,8,아무르하우스,전세,49.62,202009,9,40500,0,2,2015,개포로22길 18
26,서울특별시,강남구,개포동,1253-4,1253,4,아주빌라가동,전세,45.9,202009,15,28300,0,3,1988,개포로25길 23
